# File: financial.csv
# Path: assets/data/financial.csv
# Financial market clustering dataset for stock analysis
# Features: stock_symbol, market_cap_millions, pe_ratio, dividend_yield, revenue_growth, profit_margin, debt_ratio, volatility, sector, region, price_change_1m, price_change_6m, price_change_1y, beta, current_price
# 150 stock records for demonstrating financial clustering and portfolio analysis

stock_symbol,market_cap_millions,pe_ratio,dividend_yield,revenue_growth,profit_margin,debt_ratio,volatility,sector,region,price_change_1m,price_change_6m,price_change_1y,beta,current_price
MS,145000,10.2,3.12,4.5,31.2,0.44,0.42,Financial,North America,2.7,14.3,19.8,1.28,89.50
C,98000,9.7,3.45,2.1,22.8,0.58,0.48,Financial,North America,1.2,7.9,11.5,1.42,52.30
AXP,134000,16.4,1.23,8.9,19.7,0.36,0.35,Financial,North America,4.2,16.8,22.3,1.08,178.90
BRK-A,756000,21.5,0.00,12.1,21.8,0.28,0.22,Financial,North America,3.1,14.7,19.2,0.85,534200.00
V,445000,34.2,0.75,11.3,54.7,0.19,0.32,Financial,North America,5.8,19.4,26.1,0.95,234.70
MA,356000,31.8,0.57,13.7,51.2,0.22,0.31,Financial,North America,6.1,21.3,28.7,0.98,367.40
JNJ,445000,15.8,2.65,1.2,23.1,0.35,0.18,Healthcare,North America,0.8,5.2,8.7,0.68,164.50
PFE,234000,13.4,2.98,2.8,41.2,0.42,0.25,Healthcare,North America,1.5,8.9,15.2,0.72,29.15
UNH,467000,22.3,1.45,8.9,7.8,0.38,0.24,Healthcare,North America,4.2,16.7,23.4,0.89,523.80
ABBV,298000,14.2,3.56,4.5,28.9,0.67,0.28,Healthcare,North America,2.8,12.3,18.1,0.75,149.30
TMO,189000,26.7,0.28,7.1,19.5,0.29,0.29,Healthcare,North America,3.5,14.8,21.2,0.82,567.90
DHR,145000,28.9,0.35,5.8,21.7,0.31,0.27,Healthcare,North America,2.9,13.5,19.8,0.79,234.60
BMY,123000,12.7,3.12,3.2,35.4,0.58,0.32,Healthcare,North America,1.8,9.7,14.5,0.85,63.25
MRK,189000,16.5,2.87,6.7,29.8,0.41,0.26,Healthcare,North America,3.1,11.9,17.3,0.73,108.40
GILD,98000,18.3,4.23,-2.1,24.5,0.34,0.35,Healthcare,North America,-1.2,3.8,7.2,0.68,82.70
AMGN,134000,14.9,2.94,1.8,32.1,0.52,0.31,Healthcare,North America,1.1,7.4,12.8,0.81,243.50
XOM,456000,15.2,5.87,23.4,8.2,0.28,0.42,Energy,North America,8.7,34.2,45.1,1.25,115.80
CVX,298000,14.8,3.12,18.9,15.6,0.31,0.38,Energy,North America,6.9,28.7,38.4,1.18,162.30
COP,145000,12.4,1.98,35.2,18.4,0.25,0.45,Energy,North America,12.1,42.3,58.9,1.35,118.50
SLB,89000,23.7,2.45,12.8,7.9,0.42,0.52,Energy,North America,4.8,21.5,32.1,1.48,58.20
HAL,67000,18.5,1.87,21.5,12.3,0.38,0.58,Energy,North America,7.3,29.8,41.2,1.62,37.45
OXY,78000,16.9,0.95,28.7,9.8,0.45,0.68,Energy,North America,9.8,38.9,52.3,1.85,62.10
KMI,123000,19.3,6.45,8.1,23.4,0.58,0.34,Energy,North America,3.2,12.8,18.7,0.95,18.75
EPD,45000,9.8,7.89,15.2,35.7,0.62,0.41,Energy,North America,5.1,18.9,28.3,1.15,13.40
ET,34000,8.7,8.12,19.8,28.9,0.68,0.48,Energy,North America,6.7,22.1,34.5,1.32,12.85
MMP,23000,11.2,9.23,7.5,45.2,0.71,0.38,Energy,North America,2.8,9.7,15.4,0.88,58.90
WMT,445000,26.4,1.78,2.4,3.1,0.42,0.22,Consumer,North America,1.2,7.8,12.5,0.52,159.30
PG,356000,24.8,2.34,1.8,19.5,0.38,0.19,Consumer,North America,0.9,6.2,11.7,0.45,148.70
KO,234000,22.1,3.12,0.5,26.8,0.41,0.21,Consumer,North America,0.3,4.8,9.2,0.58,61.40
PEP,213000,23.5,2.87,1.2,11.4,0.45,0.23,Consumer,North America,0.7,5.9,10.8,0.62,171.20
MCD,189000,28.7,2.15,3.8,31.2,0.52,0.25,Consumer,North America,1.8,8.4,14.2,0.71,289.50
COST,167000,35.2,0.68,6.7,2.8,0.29,0.28,Consumer,North America,2.9,12.1,17.8,0.89,545.20
HD,334000,21.8,2.45,4.2,15.3,0.48,0.32,Consumer,North America,2.1,9.7,15.4,1.05,387.60
LOW,145000,19.3,1.87,8.1,12.7,0.51,0.34,Consumer,North America,3.2,11.8,18.2,1.12,234.80
TGT,89000,15.7,2.98,3.5,5.9,0.58,0.38,Consumer,North America,1.7,7.3,12.9,1.08,148.30
DIS,178000,95.2,0.00,-1.2,3.2,0.41,0.45,Consumer,North America,-0.8,2.1,5.8,1.22,89.70
VZ,156000,8.9,6.87,-2.8,21.4,0.68,0.24,Telecom,North America,-1.5,1.8,4.2,0.42,38.45
T,134000,7.2,7.12,-5.1,15.8,0.72,0.28,Telecom,North America,-2.1,0.3,2.7,0.65,18.20
CMCSA,167000,11.4,2.95,-1.8,18.9,0.59,0.31,Telecom,North America,-0.9,3.4,7.1,0.85,42.80
CHTR,89000,12.8,0.00,1.2,35.7,0.64,0.42,Telecom,North America,0.5,5.8,11.2,1.15,387.20
TMUS,145000,25.7,0.00,3.8,12.4,0.48,0.38,Telecom,North America,1.8,8.9,16.3,0.95,165.40
SPY,423000,21.2,1.45,8.7,18.2,0.35,0.18,Index,North America,4.1,15.8,22.4,1.00,445.30
QQQ,189000,28.9,0.67,12.3,22.8,0.28,0.32,Index,North America,6.8,24.7,31.5,1.15,378.60
IWM,67000,34.5,1.23,15.2,12.1,0.48,0.42,Index,North America,7.2,18.9,25.7,1.35,198.40
GLD,45000,0.0,0.00,0.0,0.0,0.00,0.15,Commodity,Global,2.1,8.7,12.3,0.05,183.70
SLV,12000,0.0,0.00,0.0,0.0,0.00,0.28,Commodity,Global,5.8,15.2,22.8,0.15,22.45
UNG,890,0.0,0.00,0.0,0.0,0.00,0.68,Commodity,Global,12.3,28.9,45.2,2.15,8.70
USO,1200,0.0,0.00,0.0,0.0,0.00,0.55,Commodity,Global,8.9,31.7,42.1,1.85,78.30
DBA,2300,0.0,0.00,0.0,0.0,0.00,0.32,Commodity,Global,4.2,12.8,18.5,0.45,19.80
ASML,267000,42.3,0.95,18.7,31.2,0.15,0.48,Technology,Europe,8.9,32.1,45.7,1.25,689.50
SAP,189000,23.8,1.32,4.2,28.7,0.22,0.35,Technology,Europe,2.1,14.8,21.3,0.89,145.20
ADBE,234000,45.1,0.00,12.8,25.9,0.18,0.42,Technology,Europe,5.8,23.4,32.1,1.15,567.80
CRM,156000,78.9,0.00,15.2,2.8,0.31,0.48,Technology,Europe,6.2,21.7,28.9,1.22,189.40
SHOP,89000,345.2,0.00,32.1,-15.2,0.08,0.75,Technology,Europe,12.8,48.9,67.3,2.35,56.70
TSM,445000,18.9,2.15,8.9,42.3,0.19,0.38,Technology,Asia,4.2,18.7,26.4,1.08,98.50
BABA,234000,12.7,0.00,-1.8,8.9,0.25,0.52,Technology,Asia,-0.8,7.2,12.8,1.45,89.30
TCEHY,389000,15.2,0.32,2.1,15.4,0.31,0.48,Technology,Asia,1.2,9.8,15.7,1.32,36.80
JD,67000,23.4,0.00,1.8,2.1,0.42,0.58,Technology,Asia,0.9,5.7,9.2,1.68,28.40
PDD,89000,34.7,0.00,25.8,7.3,0.15,0.68,Technology,Asia,11.2,42.1,58.9,1.95,112.70
NTES,45000,18.9,2.87,8.2,18.7,0.22,0.45,Technology,Asia,3.8,15.2,22.1,1.15,89.60
BIDU,34000,9.8,0.00,-5.2,12.4,0.28,0.72,Technology,Asia,-2.1,3.8,7.9,1.85,134.20
NIO,23000,0.0,0.00,34.7,-45.2,0.18,0.95,Technology,Asia,15.8,29.7,41.3,2.85,8.90
XPEV,12000,0.0,0.00,28.9,-38.7,0.15,0.88,Technology,Asia,12.3,25.8,37.4,2.65,12.40
LI,15000,0.0,0.00,42.1,-28.9,0.12,0.82,Technology,Asia,18.7,38.2,52.1,2.45,24.70
NVO,445000,16.8,3.45,7.2,42.8,0.28,0.28,Healthcare,Europe,3.1,12.7,18.9,0.65,112.80
ROCHE,289000,14.2,3.12,1.8,35.2,0.32,0.25,Healthcare,Europe,0.9,7.8,13.4,0.58,324.50
UNP,156000,22.1,2.15,4.8,29.7,0.48,0.32,Industrial,North America,2.3,11.2,17.8,1.05,245.60
CAT,134000,18.7,2.87,12.1,15.3,0.52,0.38,Industrial,North America,5.2,18.9,26.7,1.25,289.40
BA,89000,67.2,0.00,8.9,1.2,0.68,0.72,Industrial,North America,4.1,12.8,19.2,1.85,212.30
HON,145000,24.8,2.12,6.7,18.4,0.42,0.29,Industrial,North America,3.2,13.5,19.8,0.89,198.70
GE,98000,15.3,0.45,2.1,8.7,0.58,0.45,Industrial,North America,1.1,6.8,12.4,1.32,98.50
MMM,67000,13.9,3.45,-1.2,16.2,0.51,0.31,Industrial,North America,-0.6,4.2,8.9,0.95,132.40
RTX,123000,16.4,2.34,7.8,11.9,0.45,0.35,Industrial,North America,3.6,14.7,21.3,1.08,89.70
LMT,89000,18.2,2.87,2.8,10.4,0.38,0.28,Industrial,North America,1.4,8.2,14.6,0.75,456.80
NOC,67000,15.7,1.98,4.2,12.8,0.41,0.32,Industrial,North America,2.1,9.7,16.2,0.82,478.90
GD,56000,17.3,2.15,3.1,13.7,0.39,0.29,Industrial,North America,1.6,8.9,15.4,0.79,234.60
INTC,189000,12.4,2.67,1.8,23.2,0.28,0.48,Technology,North America,0.9,7.2,12.8,1.25,31.50
AMD,234000,34.7,0.00,18.9,5.7,0.15,0.68,Technology,North America,8.2,28.4,42.1,1.85,112.70
QCOM,134000,16.8,2.12,7.3,31.4,0.22,0.42,Technology,North America,3.4,15.8,23.7,1.18,145.20
AVGO,278000,18.9,1.87,15.2,25.8,0.34,0.38,Technology,North America,6.8,24.1,34.5,1.12,567.80
TXN,167000,22.3,2.45,2.8,45.7,0.18,0.32,Technology,North America,1.4,9.8,16.7,0.95,189.40
AMAT,98000,19.7,0.95,12.1,28.9,0.25,0.48,Technology,North America,5.2,21.3,31.2,1.32,134.60
LRCX,89000,21.4,1.23,8.7,32.4,0.28,0.52,Technology,North America,4.1,18.7,27.8,1.45,612.30
KLAC,67000,18.2,0.87,15.8,35.2,0.22,0.45,Technology,North America,6.9,26.4,38.9,1.28,398.70
MRVL,56000,45.6,0.78,18.2,12.3,0.18,0.58,Technology,North America,7.8,24.7,36.2,1.65,62.40
MU,78000,8.9,0.00,25.8,18.7,0.32,0.72,Technology,North America,11.2,34.5,48.9,1.95,78.30
WDC,45000,12.3,0.00,18.7,8.9,0.45,0.68,Technology,North America,7.9,23.1,34.2,1.85,56.80
STX,34000,9.7,3.45,12.4,15.2,0.52,0.58,Technology,North America,5.1,18.9,28.7,1.72,89.60
NXPI,89000,16.8,1.98,8.9,31.7,0.28,0.45,Technology,North America,4.2,17.8,26.4,1.32,198.50
ADI,98000,24.7,2.12,6.3,42.1,0.25,0.38,Technology,North America,2.9,14.2,21.7,1.15,187.90
MCHP,67000,18.9,1.45,4.7,35.8,0.32,0.42,Technology,North America,2.3,12.8,19.4,1.25,89.30
ON,56000,22.1,0.00,15.2,18.9,0.28,0.58,Technology,North America,6.8,25.7,38.2,1.68,67.40
SWKS,45000,14.7,2.67,7.8,24.3,0.38,0.52,Technology,North America,3.6,16.9,25.8,1.52,98.70
QRVO,34000,11.2,0.00,12.1,19.7,0.42,0.68,Technology,North America,5.2,21.8,33.4,1.85,112.30
