# File: social-media.csv
# Path: assets/data/social-media.csv
# Social network clustering dataset for user behavior analysis
# Features: user_id, followers_count, following_count, posts_count, likes_avg, comments_avg, shares_avg, engagement_rate, account_age_days, verified, user_type, primary_platform, activity_level
# 180 user profiles for demonstrating social media user segmentation

user_id,followers_count,following_count,posts_count,likes_avg,comments_avg,shares_avg,engagement_rate,account_age_days,verified,user_type,primary_platform,activity_level
97,789012,67890,7890,45678,5678,2890,0.33,3012,1,Celebrity,TikTok,High
98,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
99,15678,3234,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
100,1012345,90123,10123,78901,8901,4567,0.36,3345,1,Celebrity,Instagram,High
101,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
102,11234,2123,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
103,901234,89012,9012,67890,7890,4012,0.35,3234,1,Influencer,TikTok,High
104,123,345,67,18,5,3,0.07,234,0,Personal,Facebook,Low
105,22345,5234,678,678,89,45,0.17,1456,0,Creator,YouTube,High
106,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
107,890123,78901,8901,56789,6789,3456,0.34,3123,1,Celebrity,Instagram,High
108,345,678,123,45,12,7,0.10,567,0,Personal,Twitter,Medium
109,16789,3345,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
110,1123456,101234,11234,89012,9012,5123,0.37,3456,1,Celebrity,TikTok,High
111,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
112,12345,2234,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
113,1012345,90123,10123,78901,8901,4567,0.36,3345,1,Influencer,Instagram,High
114,234,567,89,28,7,4,0.08,345,0,Personal,Twitter,Low
115,23456,5345,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
116,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
117,901234,89012,9012,67890,7890,4012,0.35,3234,1,Celebrity,TikTok,High
118,456,789,134,34,9,5,0.09,456,0,Personal,Facebook,Medium
119,17890,3456,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
120,1234567,112345,12345,90123,10123,5678,0.38,3567,1,Celebrity,Instagram,High
121,123,345,67,18,5,3,0.07,234,0,Personal,Twitter,Low
122,13456,2345,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
123,1123456,101234,11234,89012,9012,5123,0.37,3456,1,Influencer,TikTok,High
124,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
125,24567,5456,678,678,89,45,0.17,1456,0,Creator,YouTube,High
126,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
127,1012345,90123,10123,78901,8901,4567,0.36,3345,1,Celebrity,Instagram,High
128,345,678,123,45,12,7,0.10,567,0,Personal,Twitter,Medium
129,18901,3567,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
130,1345678,123456,13456,101234,11234,6234,0.39,3678,1,Celebrity,TikTok,High
131,456,789,134,34,9,5,0.09,456,0,Personal,Facebook,Medium
132,14567,2456,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
133,1234567,112345,12345,90123,10123,5678,0.38,3567,1,Influencer,Instagram,High
134,123,345,67,18,5,3,0.07,234,0,Personal,Twitter,Low
135,25678,5567,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
136,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
137,1123456,101234,11234,89012,9012,5123,0.37,3456,1,Celebrity,TikTok,High
138,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
139,19012,3678,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
140,1456789,134567,14567,112345,12345,6789,0.40,3789,1,Celebrity,Instagram,High
141,189,345,78,23,6,3,0.07,289,0,Personal,Twitter,Low
142,15678,2567,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
143,1345678,123456,13456,101234,11234,6234,0.39,3678,1,Influencer,TikTok,High
144,234,567,89,28,7,4,0.08,345,0,Personal,Facebook,Low
145,26789,5678,678,678,89,45,0.17,1456,0,Creator,YouTube,High
146,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
147,1234567,112345,12345,90123,10123,5678,0.38,3567,1,Celebrity,Instagram,High
148,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
149,20123,3789,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
150,1567890,145678,15678,123456,13456,7345,0.41,3890,1,Celebrity,TikTok,High
151,123,345,67,18,5,3,0.07,234,0,Personal,Facebook,Low
152,16789,2678,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
153,1456789,134567,14567,112345,12345,6789,0.40,3789,1,Influencer,Instagram,High
154,189,345,78,23,6,3,0.07,289,0,Personal,Twitter,Low
155,27890,5789,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
156,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
157,1345678,123456,13456,101234,11234,6234,0.39,3678,1,Celebrity,TikTok,High
158,345,678,123,45,12,7,0.10,567,0,Personal,Facebook,Medium
159,21234,3890,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
160,1678901,156789,16789,134567,14567,7890,0.42,4012,1,Celebrity,Instagram,High
161,456,789,134,34,9,5,0.09,456,0,Personal,Twitter,Medium
162,17890,2789,234,234,34,18,0.13,789,0,Business,LinkedIn,Medium
163,1567890,145678,15678,123456,13456,7345,0.41,3890,1,Influencer,TikTok,High
164,123,345,67,18,5,3,0.07,234,0,Personal,Facebook,Low
165,28901,5890,678,678,89,45,0.17,1456,0,Creator,YouTube,High
166,234,567,89,28,7,4,0.08,345,0,Personal,Instagram,Low
167,1456789,134567,14567,112345,12345,6789,0.40,3789,1,Celebrity,Instagram,High
168,345,678,123,45,12,7,0.10,567,0,Personal,Twitter,Medium
169,22345,4012,345,345,56,28,0.14,1123,0,Business,LinkedIn,Medium
170,1789012,167890,17890,145678,15678,8456,0.43,4123,1,Celebrity,TikTok,High
171,189,345,78,23,6,3,0.07,289,0,Personal,Facebook,Low
172,18901,2890,234,234,34,18,0.13,789,0,Creator,YouTube,Medium
173,1678901,156789,16789,134567,14567,7890,0.42,4012,1,Influencer,Instagram,High
174,234,567,89,28,7,4,0.08,345,0,Personal,Twitter,Low
175,29012,5901,678,678,89,45,0.17,1456,0,Business,LinkedIn,High
176,345,678,123,45,12,7,0.10,567,0,Personal,Instagram,Medium
177,1567890,145678,15678,123456,13456,7345,0.41,3890,1,Celebrity,TikTok,High
178,456,789,134,34,9,5,0.09,456,0,Personal,Facebook,Medium
179,23456,4123,345,345,56,28,0.14,1123,0,Creator,YouTube,Medium
180,1890123,178901,18901,156789,16789,9012,0.44,4234,1,Celebrity,Instagram,High
