# File: ecommerce.csv
# Path: assets/data/ecommerce.csv
# E-commerce behavior clustering dataset for customer analytics
# Features: customer_id, session_duration_minutes, pages_viewed, products_viewed, cart_additions, purchases, revenue, bounce_rate, device_type, traffic_source, time_on_site_minutes, conversion_rate, avg_order_value, return_customer, age_group, location
# 200 customer behavior records for demonstrating e-commerce user segmentation

customer_id,session_duration_minutes,pages_viewed,products_viewed,cart_additions,purchases,revenue,bounce_rate,device_type,traffic_source,time_on_site_minutes,conversion_rate,avg_order_value,return_customer,age_group,location
66,8.2,9,7,3,1,92.34,0.0,Mobile,Social,7.6,0.33,92.34,0,25-34,Rural
67,33.7,29,22,9,4,367.44,0.0,Desktop,Email,31.2,0.44,91.86,0,45-54,Suburban
68,1.7,2,1,0,0,0.00,1.0,Mobile,Search,1.3,0.00,0.00,0,18-24,Urban
69,51.8,45,34,15,7,645.83,0.0,Desktop,Direct,48.4,0.47,92.26,1,35-44,Urban
70,97.3,84,64,28,13,1156.47,0.0,Desktop,Email,93.1,0.46,88.96,1,45-54,Suburban
71,3.8,4,3,1,0,0.00,0.0,Mobile,Social,3.4,0.00,0.00,0,25-34,Urban
72,18.6,16,12,5,2,167.88,0.0,Tablet,Search,17.1,0.40,83.94,0,35-44,Rural
73,71.2,62,47,20,9,823.47,0.0,Desktop,Email,67.8,0.45,91.50,1,45-54,Urban
74,2.2,2,1,0,0,0.00,1.0,Mobile,Direct,1.8,0.00,0.00,0,18-24,Suburban
75,45.9,40,31,13,6,556.74,0.0,Desktop,Search,42.7,0.46,92.79,1,35-44,Urban
76,9.4,10,8,3,1,95.67,0.0,Mobile,Social,8.7,0.30,95.67,0,25-34,Rural
77,35.1,31,23,10,4,378.92,0.0,Desktop,Email,32.6,0.40,94.73,0,45-54,Suburban
78,1.5,1,0,0,0,0.00,1.0,Mobile,Search,1.1,0.00,0.00,0,18-24,Urban
79,53.4,46,36,15,7,667.93,0.0,Desktop,Direct,49.8,0.47,95.42,1,35-44,Urban
80,102.7,89,68,29,14,1267.58,0.0,Desktop,Email,98.2,0.48,90.54,1,45-54,Suburban
81,4.1,5,4,1,0,0.00,0.0,Mobile,Social,3.7,0.00,0.00,0,25-34,Urban
82,25.8,22,16,7,3,267.84,0.0,Tablet,Search,23.9,0.43,89.28,0,35-44,Rural
83,74.5,65,49,21,9,845.73,0.0,Desktop,Email,70.9,0.43,93.97,1,45-54,Urban
84,2.6,3,2,0,0,0.00,1.0,Mobile,Direct,2.1,0.00,0.00,0,18-24,Suburban
85,48.2,42,32,14,6,578.34,0.0,Desktop,Search,45.1,0.43,96.39,1,35-44,Urban
86,10.7,11,9,4,1,98.45,0.0,Mobile,Social,9.9,0.25,98.45,0,25-34,Rural
87,37.4,33,24,11,4,412.76,0.0,Desktop,Email,34.8,0.36,103.19,0,45-54,Suburban
88,1.8,2,1,0,0,0.00,1.0,Mobile,Search,1.4,0.00,0.00,0,18-24,Urban
89,55.7,48,37,16,7,689.83,0.0,Desktop,Direct,52.1,0.44,98.55,1,35-44,Urban
90,108.9,94,72,31,15,1378.65,0.0,Desktop,Email,104.2,0.48,91.91,1,45-54,Suburban
91,4.5,5,4,1,0,0.00,0.0,Mobile,Social,4.1,0.00,0.00,0,25-34,Urban
92,20.1,17,13,6,2,189.76,0.0,Tablet,Search,18.6,0.33,94.88,0,35-44,Rural
93,78.3,68,52,22,10,923.70,0.0,Desktop,Email,74.6,0.45,92.37,1,45-54,Urban
94,2.3,3,2,0,0,0.00,1.0,Mobile,Direct,1.9,0.00,0.00,0,18-24,Suburban
95,50.5,44,33,14,6,623.46,0.0,Desktop,Search,47.3,0.43,103.91,1,35-44,Urban
96,11.9,12,10,4,2,189.78,0.0,Mobile,Social,11.1,0.40,94.89,0,25-34,Rural
97,39.8,35,26,11,5,489.75,0.0,Desktop,Email,37.1,0.45,97.95,0,45-54,Suburban
98,2.0,2,1,0,0,0.00,1.0,Mobile,Search,1.6,0.00,0.00,0,18-24,Urban
99,57.9,50,38,16,8,767.84,0.0,Desktop,Direct,54.2,0.50,95.98,1,35-44,Urban
100,114.6,99,76,33,16,1489.92,0.0,Desktop,Email,109.8,0.48,93.12,1,45-54,Suburban
101,5.2,6,5,2,0,0.00,0.0,Mobile,Social,4.7,0.00,0.00,0,25-34,Urban
102,22.4,19,14,6,3,278.37,0.0,Tablet,Search,20.7,0.50,92.79,0,35-44,Rural
103,81.7,71,54,23,11,1023.47,0.0,Desktop,Email,77.8,0.48,93.04,1,45-54,Urban
104,2.8,3,2,0,0,0.00,1.0,Mobile,Direct,2.4,0.00,0.00,0,18-24,Suburban
105,52.8,46,35,15,7,689.83,0.0,Desktop,Search,49.4,0.47,98.55,1,35-44,Urban
106,13.1,14,11,5,2,198.78,0.0,Mobile,Social,12.2,0.40,99.39,0,25-34,Rural
107,42.1,37,27,12,5,523.45,0.0,Desktop,Email,39.3,0.42,104.69,0,45-54,Suburban
108,2.3,2,1,0,0,0.00,1.0,Mobile,Search,1.9,0.00,0.00,0,18-24,Urban
109,60.2,52,40,17,8,823.47,0.0,Desktop,Direct,56.4,0.47,102.93,1,35-44,Urban
110,120.3,104,80,35,17,1601.83,0.0,Desktop,Email,115.1,0.49,94.22,1,45-54,Suburban
111,5.8,6,5,2,1,89.45,0.0,Mobile,Social,5.3,0.33,89.45,0,25-34,Urban
112,24.7,21,16,7,3,289.74,0.0,Tablet,Search,22.9,0.43,96.58,0,35-44,Rural
113,85.4,74,56,24,11,1134.78,0.0,Desktop,Email,81.3,0.46,103.16,1,45-54,Urban
114,3.1,3,2,1,0,0.00,0.0,Mobile,Direct,2.7,0.00,0.00,0,18-24,Suburban
115,55.1,48,36,16,7,756.84,0.0,Desktop,Search,51.6,0.44,108.12,1,35-44,Urban
116,14.6,15,12,5,2,207.89,0.0,Mobile,Social,13.4,0.33,103.95,0,25-34,Rural
117,44.3,39,29,13,6,634.92,0.0,Desktop,Email,41.4,0.46,105.82,0,45-54,Suburban
118,2.6,3,2,0,0,0.00,1.0,Mobile,Search,2.2,0.00,0.00,0,18-24,Urban
119,62.5,54,41,18,8,867.84,0.0,Desktop,Direct,58.7,0.44,108.48,1,35-44,Urban
120,126.7,109,84,36,18,1712.94,0.0,Desktop,Email,121.3,0.50,95.16,1,45-54,Suburban
121,6.4,7,6,2,1,92.34,0.0,Mobile,Social,5.9,0.33,92.34,0,25-34,Urban
122,27.1,23,17,8,3,298.76,0.0,Tablet,Search,25.1,0.38,99.59,0,35-44,Rural
123,89.2,78,59,25,12,1245.96,0.0,Desktop,Email,85.1,0.48,103.83,1,45-54,Urban
124,3.4,4,3,1,0,0.00,0.0,Mobile,Direct,3.0,0.00,0.00,0,18-24,Suburban
125,57.4,50,38,16,8,834.72,0.0,Desktop,Search,53.8,0.50,104.34,1,35-44,Urban
126,16.2,17,13,6,2,216.78,0.0,Mobile,Social,14.9,0.31,108.39,0,25-34,Rural
127,46.8,41,30,13,6,689.83,0.0,Desktop,Email,43.7,0.46,114.97,0,45-54,Suburban
128,2.9,3,2,0,0,0.00,1.0,Mobile,Search,2.5,0.00,0.00,0,18-24,Urban
129,64.8,56,43,18,9,945.72,0.0,Desktop,Direct,60.9,0.50,105.08,1,35-44,Urban
130,132.4,114,88,38,19,1823.85,0.0,Desktop,Email,127.1,0.50,95.99,1,45-54,Suburban
131,7.1,8,6,3,1,95.67,0.0,Mobile,Social,6.5,0.33,95.67,0,25-34,Urban
132,29.3,25,19,8,4,387.84,0.0,Tablet,Search,27.2,0.50,96.96,0,35-44,Rural
133,92.8,81,61,26,13,1367.89,0.0,Desktop,Email,88.6,0.50,105.22,1,45-54,Urban
134,3.7,4,3,1,0,0.00,0.0,Mobile,Direct,3.3,0.00,0.00,0,18-24,Suburban
135,59.6,52,39,17,8,878.64,0.0,Desktop,Search,56.1,0.47,109.83,1,35-44,Urban
136,17.8,18,14,6,3,325.47,0.0,Mobile,Social,16.3,0.43,108.49,0,25-34,Rural
137,49.1,43,32,14,7,767.83,0.0,Desktop,Email,45.8,0.50,109.69,0,45-54,Suburban
138,3.2,3,2,1,0,0.00,0.0,Mobile,Search,2.8,0.00,0.00,0,18-24,Urban
139,67.1,58,44,19,9,998.73,0.0,Desktop,Direct,63.2,0.47,110.97,1,35-44,Urban
140,138.9,120,92,40,20,1934.76,0.0,Desktop,Email,133.4,0.50,96.74,1,45-54,Suburban
141,7.8,8,7,3,1,98.45,0.0,Mobile,Social,7.2,0.33,98.45,0,25-34,Urban
142,31.6,27,20,9,4,423.88,0.0,Tablet,Search,29.3,0.44,105.97,0,35-44,Rural
143,96.5,84,63,27,13,1479.87,0.0,Desktop,Email,92.1,0.48,113.84,1,45-54,Urban
144,4.0,4,3,1,0,0.00,0.0,Mobile,Direct,3.6,0.00,0.00,0,18-24,Suburban
145,61.9,54,41,18,9,923.67,0.0,Desktop,Search,58.4,0.50,102.63,1,35-44,Urban
146,19.4,20,15,7,3,334.56,0.0,Mobile,Social,17.8,0.38,111.52,0,25-34,Rural
147,51.3,45,33,15,7,789.84,0.0,Desktop,Email,48.1,0.47,112.83,0,45-54,Suburban
148,3.5,4,3,1,0,0.00,0.0,Mobile,Search,3.1,0.00,0.00,0,18-24,Urban
149,69.4,60,46,20,10,1089.70,0.0,Desktop,Direct,65.3,0.50,108.97,1,35-44,Urban
150,145.2,125,96,42,21,2045.67,0.0,Desktop,Email,139.4,0.50,97.41,1,45-54,Suburban
151,8.5,9,7,3,1,101.23,0.0,Mobile,Social,7.9,0.33,101.23,0,25-34,Urban
152,33.9,29,22,10,5,512.95,0.0,Tablet,Search,31.4,0.50,102.59,0,35-44,Rural
153,100.1,87,66,28,14,1591.96,0.0,Desktop,Email,95.8,0.50,113.71,1,45-54,Urban
154,4.3,5,4,2,0,0.00,0.0,Mobile,Direct,3.9,0.00,0.00,0,18-24,Suburban
155,64.2,56,42,19,9,967.83,0.0,Desktop,Search,60.7,0.47,107.54,1,35-44,Urban
156,21.1,22,16,7,3,343.65,0.0,Mobile,Social,19.4,0.38,114.55,0,25-34,Rural
157,53.7,47,35,16,8,856.72,0.0,Desktop,Email,50.3,0.50,107.09,0,45-54,Suburban
158,3.8,4,3,1,0,0.00,0.0,Mobile,Search,3.4,0.00,0.00,0,18-24,Urban
159,71.8,62,47,21,10,1134.80,0.0,Desktop,Direct,67.6,0.48,113.48,1,35-44,Urban
160,151.5,131,100,44,22,2156.58,0.0,Desktop,Email,145.3,0.50,98.03,1,45-54,Suburban
161,9.2,10,8,4,2,189.78,0.0,Mobile,Social,8.6,0.50,94.89,0,25-34,Urban
162,36.2,31,23,11,5,556.74,0.0,Tablet,Search,33.6,0.45,111.35,0,35-44,Rural
163,103.8,90,68,29,15,1703.85,0.0,Desktop,Email,99.4,0.52,113.59,1,45-54,Urban
164,4.6,5,4,2,1,89.45,0.0,Mobile,Direct,4.2,0.50,89.45,0,18-24,Suburban
165,66.5,58,44,20,10,1023.70,0.0,Desktop,Search,62.9,0.50,102.37,1,35-44,Urban
166,22.8,23,17,8,4,434.56,0.0,Mobile,Social,21.0,0.44,108.64,0,25-34,Rural
167,56.1,49,36,16,8,889.76,0.0,Desktop,Email,52.5,0.50,111.22,0,45-54,Suburban
168,4.1,4,3,1,0,0.00,0.0,Mobile,Search,3.7,0.00,0.00,0,18-24,Urban
169,74.2,64,49,22,11,1245.97,0.0,Desktop,Direct,69.9,0.50,113.27,1,35-44,Urban
170,157.8,136,104,46,23,2267.49,0.0,Desktop,Email,151.6,0.50,98.59,1,45-54,Suburban
171,9.9,11,8,4,2,198.78,0.0,Mobile,Social,9.2,0.50,99.39,0,25-34,Urban
172,38.5,33,25,12,6,634.92,0.0,Tablet,Search,35.7,0.50,105.82,0,35-44,Rural
173,107.4,93,71,30,15,1815.75,0.0,Desktop,Email,102.9,0.50,121.05,1,45-54,Urban
174,4.9,5,4,2,1,92.34,0.0,Mobile,Direct,4.5,0.50,92.34,0,18-24,Suburban
175,68.8,60,45,20,10,1067.80,0.0,Desktop,Search,65.1,0.50,106.78,1,35-44,Urban
176,24.5,25,19,9,4,467.84,0.0,Mobile,Social,22.6,0.42,116.96,0,25-34,Rural
177,58.4,51,38,17,8,923.68,0.0,Desktop,Email,54.7,0.47,115.46,0,45-54,Suburban
178,4.4,5,4,2,1,95.67,0.0,Mobile,Search,4.0,0.50,95.67,0,18-24,Urban
179,76.6,66,50,23,11,1289.73,0.0,Desktop,Direct,72.3,0.48,117.25,1,35-44,Urban
180,164.1,142,108,48,24,2378.40,0.0,Desktop,Email,157.8,0.50,99.10,1,45-54,Suburban
181,10.7,12,9,4,2,207.89,0.0,Mobile,Social,9.9,0.44,103.95,0,25-34,Urban
182,40.8,35,26,13,6,689.82,0.0,Tablet,Search,37.9,0.46,114.97,0,35-44,Rural
183,111.1,96,73,31,16,1927.84,0.0,Desktop,Email,106.4,0.52,120.49,1,45-54,Urban
184,5.2,6,5,2,1,98.45,0.0,Mobile,Direct,4.8,0.40,98.45,0,18-24,Suburban
185,71.1,62,47,21,10,1111.90,0.0,Desktop,Search,67.4,0.48,111.19,1,35-44,Urban
186,26.2,27,20,9,4,501.12,0.0,Mobile,Social,24.1,0.40,125.28,0,25-34,Rural
187,60.7,53,39,18,9,989.73,0.0,Desktop,Email,56.9,0.50,109.97,0,45-54,Suburban
188,4.7,5,4,2,1,98.78,0.0,Mobile,Search,4.3,0.40,98.78,0,18-24,Urban
189,78.9,68,52,24,12,1378.68,0.0,Desktop,Direct,74.6,0.50,114.89,1,35-44,Urban
190,170.4,147,112,50,25,2489.31,0.0,Desktop,Email,164.1,0.50,99.57,1,45-54,Suburban
191,11.4,12,9,4,2,216.78,0.0,Mobile,Social,10.6,0.44,108.39,0,25-34,Urban
192,43.1,37,28,14,7,756.84,0.0,Tablet,Search,40.0,0.50,108.12,0,35-44,Rural
193,114.8,99,75,32,16,2039.92,0.0,Desktop,Email,110.1,0.50,127.50,1,45-54,Urban
194,5.5,6,5,3,1,101.23,0.0,Mobile,Direct,5.1,0.33,101.23,0,18-24,Suburban
195,73.4,64,48,22,11,1234.57,0.0,Desktop,Search,69.7,0.50,112.23,1,35-44,Urban
196,27.9,29,21,10,5,567.85,0.0,Mobile,Social,25.8,0.48,113.57,0,25-34,Rural
197,63.0,55,41,19,9,1023.81,0.0,Desktop,Email,59.1,0.47,113.76,0,45-54,Suburban
198,5.0,5,4,2,1,104.56,0.0,Mobile,Search,4.6,0.40,104.56,0,18-24,Urban
199,81.2,70,53,25,12,1445.76,0.0,Desktop,Direct,76.9,0.48,120.48,1,35-44,Urban
200,176.7,152,116,52,26,2600.22,0.0,Desktop,Email,170.3,0.50,100.01,1,45-54,Suburban
